order_id,order_date,user_id,is_prime_member,seller_id,seller_type,seller_plan,city,city_tier,category,quantity,order_value,fulfillment_type,referral_fee,fba_fee,closing_fee,shipping_fee,total_amazon_fees,gst_on_fees,seller_payout,payment_method,payment_status,delivery_days,delivery_status,refund_status,refund_amount,fraud_flag,leakage_type,leakage_amount
AMZ-IN-400000,05-05-2024 20:26,CUST-003255,1,AMZ-SEL-00864,Reseller,Professional,Visakhapatnam,Tier 3,Home & Kitchen,1,10899.19,Easy Ship,1089.92,0,5,40,1134.92,204.29,9764.27,Amazon Pay,success,2,delivered,no,0,0,promo_coupon_abuse,1748.36
AMZ-IN-400001,23-12-2024 15:21,CUST-002559,0,AMZ-SEL-00912,Reseller,Professional,Gurgaon,Tier 1,Fashion & Apparel,1,2666.44,Easy Ship,399.97,0,2,60,461.97,83.15,0,COD,failed,7,delivered,no,0,0,,0
AMZ-IN-400002,01-12-2024 10:25,CUST-002854,0,AMZ-SEL-00189,Reseller,Individual,Mumbai,Tier 1,Books & Media,1,378.97,Easy Ship,15.16,0,8,60,83.16,14.97,295.81,Amazon Pay,success,5,delivered,no,0,0,,0
AMZ-IN-400003,13-10-2024 17:34,CUST-001677,0,AMZ-SEL-01296,Brand/Manufacturer,Professional,Nagpur,Tier 2,Grocery & Food,2,1934.69,Easy Ship,96.73,0,2,100,198.73,35.77,0,UPI,failed,4,delivered,no,0,0,,0
AMZ-IN-400004,16-12-2024 15:14,CUST-004015,0,AMZ-SEL-01249,D2C Brand,Individual,Ahmedabad,Tier 2,Beauty & Personal,1,1063.85,FBA,127.66,35,8,0,170.66,30.72,893.19,Credit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400005,20-04-2024 10:51,CUST-004503,1,AMZ-SEL-01337,Brand/Manufacturer,Individual,Jaipur,Tier 2,Home & Kitchen,1,12278.97,FBA,1227.9,29,12,0,1268.9,228.4,11010.07,UPI,success,2,delivered,no,0,0,return_abuse,12255.33
AMZ-IN-400006,11-10-2024 06:12,CUST-002512,0,AMZ-SEL-00807,D2C Brand,Individual,Mumbai,Tier 1,Electronics,1,17986.43,FBA,1438.91,55,18,0,1511.91,272.14,16474.52,Credit Card,success,5,delayed,no,0,0,,0
AMZ-IN-400007,21-11-2024 20:14,CUST-001144,0,AMZ-SEL-01305,Distributor,Professional,Pune,Tier 1,Home & Kitchen,1,14999,FBA,1499.9,45,5,0,1549.9,278.98,13449.1,Credit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400008,09-01-2024 14:05,CUST-002073,1,AMZ-SEL-00450,Brand/Manufacturer,Professional,Chennai,Tier 1,Home & Kitchen,1,5554.16,FBA,555.42,45,8,0,608.42,109.52,4945.74,UPI,success,5,delivered,no,0,0,fba_reimbursement_fraud,96.04
AMZ-IN-400009,01-01-2024 01:07,CUST-001549,1,AMZ-SEL-01170,Reseller,Professional,Chandigarh,Tier 2,Electronics,1,59571.5,Self Ship,4765.72,0,5,0,4770.72,858.73,54800.78,Debit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400010,02-02-2024 20:22,CUST-003494,0,AMZ-SEL-01327,Brand/Manufacturer,Individual,Bangalore,Tier 1,Beauty & Personal,1,652.42,FBA,78.29,65,12,0,155.29,27.95,497.13,Credit Card,success,5,delivered,no,0,0,,0
AMZ-IN-400011,24-06-2024 19:26,CUST-002476,0,AMZ-SEL-01107,Reseller,Professional,Pune,Tier 1,Fashion & Apparel,1,1775.32,FBA,266.3,29,18,0,313.3,56.39,1462.02,Debit Card,success,3,delivered,no,0,0,,0
AMZ-IN-400012,13-05-2024 17:32,CUST-000759,0,AMZ-SEL-00747,Reseller,Professional,Ahmedabad,Tier 2,Beauty & Personal,1,1274.83,Easy Ship,152.98,0,2,60,214.98,38.7,1059.85,Debit Card,success,2,delivered,no,0,0,,0
AMZ-IN-400013,14-12-2024 08:10,CUST-002822,0,AMZ-SEL-01047,Brand/Manufacturer,Professional,Kolkata,Tier 1,Beauty & Personal,2,2078.43,FBA,249.41,90,5,0,344.41,61.99,1734.02,Net Banking,success,4,delivered,no,0,0,promo_coupon_abuse,118.43
AMZ-IN-400014,12-10-2024 22:08,CUST-004447,0,AMZ-SEL-00511,Reseller,Professional,Chennai,Tier 1,Grocery & Food,2,1558.3,Easy Ship,77.92,0,5,130,212.92,38.33,1345.38,Credit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400015,19-05-2024 09:46,CUST-004749,1,AMZ-SEL-00408,Brand/Manufacturer,Professional,Coimbatore,Tier 2,Grocery & Food,3,1458.59,FBA,72.93,240,8,0,320.93,57.77,1137.66,UPI,success,5,delivered,no,0,0,fba_reimbursement_fraud,537.15
AMZ-IN-400016,20-04-2024 08:39,CUST-000880,0,AMZ-SEL-00068,Distributor,Professional,Kochi,Tier 2,Home & Kitchen,1,9409.39,FBA,940.94,29,18,0,987.94,177.83,8421.45,Debit Card,success,4,delivered,no,0,0,,0
AMZ-IN-400017,03-09-2024 09:28,CUST-005740,0,AMZ-SEL-01923,Reseller,Individual,Mumbai,Tier 1,Fashion & Apparel,1,716.04,Self Ship,107.41,0,2,0,109.41,19.69,606.63,Debit Card,success,2,delivered,no,0,0,,0
AMZ-IN-400018,25-05-2024 16:23,CUST-003298,0,AMZ-SEL-00586,Brand/Manufacturer,Professional,Hyderabad,Tier 1,Books & Media,1,284.57,Easy Ship,11.38,0,2,75,88.38,15.91,196.19,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400019,21-11-2024 18:37,CUST-002979,0,AMZ-SEL-01252,Reseller,Professional,Patna,Tier 3,Fashion & Apparel,1,4665.22,FBA,699.78,80,12,0,791.78,142.52,3873.44,UPI,success,12,delivered,no,0,0,,0
AMZ-IN-400020,27-10-2024 16:45,CUST-005256,1,AMZ-SEL-01886,Reseller,Individual,Mumbai,Tier 1,Home & Kitchen,1,1923.64,FBA,192.36,80,25,0,297.36,53.52,1626.28,UPI,success,2,delivered,no,0,0,,0
AMZ-IN-400021,22-12-2024 05:26,CUST-005430,0,AMZ-SEL-01531,Reseller,Professional,Kochi,Tier 2,Automotive,1,2920.8,FBA,292.08,55,5,0,352.08,63.37,2568.72,UPI,success,7,delivered,no,0,0,fba_reimbursement_fraud,148.23
AMZ-IN-400022,27-10-2024 09:33,CUST-003728,0,AMZ-SEL-00357,Brand/Manufacturer,Individual,Chennai,Tier 1,Books & Media,1,416.36,FBA,16.65,35,5,0,56.65,10.2,359.71,UPI,success,5,delivered,no,0,0,,0
AMZ-IN-400023,11-12-2024 08:29,CUST-005766,1,AMZ-SEL-00027,Brand/Manufacturer,Professional,Mumbai,Tier 1,Sports & Outdoors,1,8893.33,Self Ship,800.4,0,8,0,808.4,145.51,8084.93,Credit Card,success,12,rto,processed,8893.33,0,,0
AMZ-IN-400024,09-03-2024 20:02,CUST-001520,0,AMZ-SEL-01780,Distributor,Individual,Hyderabad,Tier 1,Beauty & Personal,1,1314.77,FBA,157.77,55,5,0,217.77,39.2,1097,UPI,success,4,delivered,processed,1145.16,0,fba_reimbursement_fraud,98.21
AMZ-IN-400025,09-01-2024 14:14,CUST-003878,1,AMZ-SEL-00982,Distributor,Professional,Bangalore,Tier 1,Fashion & Apparel,1,4999,FBA,749.85,35,8,0,792.85,142.71,4206.15,UPI,success,3,delivered,no,0,0,promo_coupon_abuse,758.25
AMZ-IN-400026,21-03-2024 20:59,CUST-002341,1,AMZ-SEL-00938,D2C Brand,Professional,Jaipur,Tier 2,Toys & Baby,1,4999,FBA,599.88,35,12,0,646.88,116.44,4352.12,Credit Card,success,1,delivered,no,0,0,,0
AMZ-IN-400027,27-11-2024 20:36,CUST-001437,1,AMZ-SEL-00943,Distributor,Professional,Noida,Tier 1,Fashion & Apparel,1,1101.4,Self Ship,165.21,0,2,0,167.21,30.1,934.19,Credit Card,success,4,delivered,no,0,0,,0
